       100	    618000	    264800	     82290     0
     10300	    612000	     47450	     36060     0
     10380	    608000	     76984	     96310     0
     10600	    606900	     66030	     36490     0
      1080	    603000	     99927	     48090     0
     11050	    297400	     48780	     25540     0
     11120	    297200	     44300	     66150     0
      1130	    296500	     96800	     38380     0
     11500	    294700	     14600	     86850     0
     11710	    294400	     57420	     90650     0
     11900	    289700	     52860	     57390     0
     12200	    288900	     53130	     99800     0
     12290	    287500	     42890	     46910     0
      1230	    286900	     75550	     18450     0
     12320	    284900	     30650	     68860     0
     12520	    284500	      3780	     85660     0
     12550	    283600	     51130	     82410     0
     12600	    280700	     36300	     59250     0
     12680	    264800	     63580	     34900     0
     12800	    261600	     92750	     23560     0
     13050	    257400	     53101	     55700     0
     13100	    251200	     76750	     10380     0
     13140	    250000	    211000	    294400     0
     13160	    246400	     66070	       180     0
     13310	    243500	     11710	     76975     0
     13420	    243200	     29970	     76970     0
     13450	    241800	     68230	     15480     0
     13640	    241000	     44630	     99840     0
     13670	    236600	     76927	     18270     0
     13700	    232400	    606900	     56420     0
      1400	    230800	      9580	     50150     0
     14050	    224700	     66850	     99120     0
     14550	    224500	     99780	     18815     0
     14580	    224400	      4460	     50080     0
     14600	    222600	     17030	     71900     0
     14711	    222200	     47500	     10300     0
     15430	    220600	    603000	      3200     0
     15480	    218600	     64330	     78370     0
     15630	    215400	      3015	     56480     0
     15660	    215100	     44520	     44730     0
     15730	    212800	      1950	     97350     0
     16270	    212400	    218600	     61820     0
      1650	    212000	     13640	     65370     0
     16560	    211000	     31660	     69150     0
     16610	    210400	     25320	     77850     0
     16740	    208000	     80850	     76250     0
     16750	    204900	     23420	     44900     0
     16790	    203600	     72800	     65310     0
     17000	    202000	     27770	      2910     0
     17005	     99996	     76974	     76988     0
     17030	     99992	     76979	     71000     0
     17150	     99990	     52930	     46700     0
     17251	     99986	     30380	     14580     0
     17280	     99950	     78610	     96560     0
     17500	     99935	     37750	     68330     0
     17741	     99927	    261600	     54500     0
     17780	     99910	    212000	    210400     0
     17870	     99902	     66620	      6440     0
     17980	     99841	      7830	     71280     0
       180	     99840	     88023	     29310     0
     18020	     99800	     23160	     33890     0
